episode,reward,final_f1,total_tokens,policy_loss,value_loss
1,0.6895147235576924,0.6923076923076924,143.0,0.8853699564933777,0.724609375
2,0.10714395630411255,0.11255411255411256,277.0,0.28107690811157227,0.08120694011449814
3,0.4588219572368421,0.4631578947368421,222.0,0.5658265352249146,0.3467235565185547
4,0.13027911679964535,0.13475177304964536,229.0,0.20273275673389435,0.044166043400764465
5,0.1515384615384615,0.9615384615384615,591.0,0.22949747741222382,0.03715091943740845
6,-0.015138339920948624,0.09486166007905138,569.0,-0.03616153076291084,0.001319714356213808
7,-0.04984962406015039,0.06015037593984962,780.0,-0.10495500266551971,0.010384991765022278
8,0.1065834683319398,0.11371237458193979,365.0,0.022759251296520233,0.0006375325610861182
9,-0.08647058823529408,0.8235294117647058,530.0,-0.19621559977531433,0.02802613005042076
10,0.028655472132034638,0.03463203463203464,306.0,-0.0743085965514183,0.007406329270452261
11,-0.021564625850340136,0.08843537414965986,633.0,-0.1746731698513031,0.02929779142141342
12,0.09000000000000008,1.0,1144.0,-0.005627439823001623,0.00034369126660749316
13,0.2923828125000001,1.0,390.0,0.2569998502731323,0.041530609130859375
14,0.001755642361111101,0.1111111111111111,479.0,-0.09898205101490021,0.008739002980291843
15,0.29000000000000004,1.0,521.0,0.2624543607234955,0.04382413625717163
16,0.29125,1.0,448.0,0.26395341753959656,0.047032445669174194
17,0.03907858455882353,0.04411764705882353,258.0,-0.07744225859642029,0.007843511179089546
18,0.16088948349530832,0.2680965147453083,369.0,0.021822910755872726,0.000497426837682724
19,0.29537109375000004,1.0,237.0,0.202300027012825,0.03013451397418976
20,0.21710376701732673,0.32673267326732675,493.0,0.0919143408536911,0.007629456929862499
21,0.2917773437500001,1.0,421.0,0.16418524086475372,0.020541256293654442
22,0.29162109375,1.0,429.0,0.13405291736125946,0.014076843857765198
23,0.02096976902173913,0.02608695652173913,262.0,-0.1646692007780075,0.03238077461719513
24,0.054895299692622954,0.05901639344262295,211.0,-0.11819920688867569,0.015347708947956562
25,0.2937304687500001,1.0,321.0,0.09631162136793137,0.007823573425412178
26,0.29427734375000003,1.0,293.0,0.10356520116329193,0.009654034860432148
27,0.29000000000000004,1.0,626.0,0.05084100738167763,0.0024364544078707695
28,0.04442820581896552,0.04827586206896552,197.0,-0.16808466613292694,0.02761239930987358
29,0.19000000000000006,1.0,663.0,-0.06381640583276749,0.0031237625516951084
30,-0.002320772058823528,0.7058823529411764,420.0,-0.22336803376674652,0.05100362002849579
31,0.29314453125000006,1.0,351.0,0.059674229472875595,0.003621739335358143
32,-0.0913953488372093,0.0186046511627907,548.0,-0.3758416175842285,0.10297615826129913
33,0.29011718750000004,1.0,506.0,0.04661136865615845,0.0024462630972266197
34,0.19000000000000006,1.0,599.0,-0.011107135564088821,0.000128462677821517
35,0.11066518498563219,0.11494252873563218,219.0,-0.08000709116458893,0.005524632520973682
36,0.29046875000000005,1.0,488.0,0.08516298979520798,0.008388064801692963
37,0.06303789227320675,0.06751054852320675,229.0,-0.1599278301000595,0.02116072177886963
38,0.16964558462078652,0.17415730337078653,231.0,-0.013541127555072308,0.00014869346341583878
39,0.10988121811224494,0.8163265306122449,330.0,-0.08345670998096466,0.008713733404874802
40,0.0957142857142857,0.2057142857142857,641.0,-0.09370626509189606,0.005771625321358442
41,0.10189828458629892,0.10676156583629892,249.0,-0.08142680674791336,0.005010575521737337
42,0.29326171875000007,1.0,345.0,0.124079629778862,0.020211126655340195
43,0.10315725492738588,0.10788381742738588,242.0,-0.04681485891342163,0.0016446427907794714
44,0.9978125,1.0,112.0,0.9142889976501465,0.7117440700531006
45,0.2946484375,1.0,274.0,0.14756976068019867,0.028411759063601494
46,0.19000000000000006,1.0,532.0,0.04411302134394646,0.0017898369114845991
47,0.08228819880653267,0.09045226130653267,418.0,-0.10786383599042892,0.008380469866096973
48,0.19000000000000006,1.0,824.0,0.04110920429229736,0.0016012241831049323
49,0.11677787162162162,0.12162162162162161,248.0,-0.04175643250346184,0.0012080580927431583
50,0.29000000000000004,1.0,573.0,0.08691711723804474,0.012150869704782963
51,0.12665364583333338,0.8333333333333334,342.0,-0.022320350632071495,0.0007627081358805299
52,0.02954241071428572,0.03571428571428572,316.0,-0.17002716660499573,0.018805403262376785
53,0.29230468750000005,1.0,394.0,0.09950672090053558,0.016350071877241135
54,0.2945703125000001,1.0,278.0,0.10772429406642914,0.018754474818706512
55,0.2906835937500001,1.0,477.0,0.07839532941579819,0.011040662415325642
56,0.19000000000000006,1.0,612.0,0.008133896626532078,0.00029262181487865746
57,0.2930859375,1.0,354.0,0.07208065688610077,0.009989561513066292
58,0.29306640625,1.0,355.0,0.05774316564202309,0.00632754061371088
59,0.03927702002762431,0.04419889502762431,252.0,-0.24399058520793915,0.032501742243766785
60,0.2935937500000001,1.0,328.0,0.015506594441831112,0.0005339991766959429
61,0.2910351562500001,1.0,459.0,0.030537890270352364,0.0021924625616520643
62,0.19000000000000006,1.0,806.0,-0.08618625998497009,0.00765771372243762
63,0.2906640625000001,1.0,478.0,0.006219262722879648,0.00011324691877234727
64,0.2931054687500001,1.0,353.0,0.005149994045495987,7.769775402266532e-05
65,0.29138671875,1.0,441.0,-0.0025184277910739183,2.128923006239347e-05
66,0.29279296875000005,1.0,369.0,0.00537925073876977,8.60630243550986e-05
67,0.29462890625000004,1.0,275.0,0.010985223576426506,0.0003205761022400111
68,0.31668256915983606,0.32131147540983607,237.0,-0.002536364132538438,2.669961759238504e-06
69,0.9868629092261905,0.9904761904761905,185.0,0.8747816681861877,0.42121621966362
70,0.2901953125000001,1.0,502.0,-0.010369326919317245,0.0003331142943352461
71,0.023854663645038167,0.030534351145038167,342.0,-0.4970111548900604,0.09635204821825027
72,0.29000000000000004,1.0,585.0,-0.03050844743847847,0.004262504633516073
73,0.19000000000000006,1.0,635.0,-0.13928259909152985,0.01767721399664879
74,0.29058593750000006,1.0,482.0,-0.015874795615673065,0.0011114169610664248
75,-0.2887390988372092,0.4186046511627907,376.0,-0.30746161937713623,0.35167041420936584
76,0.2941015625000001,1.0,302.0,0.015640689060091972,0.0008997175609692931
77,-0.009700913027108404,0.6987951807228916,435.0,-0.1582806259393692,0.10473159700632095
78,0.29351562500000006,1.0,332.0,0.029843783006072044,0.0032095632050186396
79,0.19000000000000006,1.0,970.0,-0.05769267678260803,0.0028983918018639088
80,0.29292968750000004,1.0,362.0,0.028031405061483383,0.002913965145125985
81,0.19000000000000006,1.0,807.0,-0.015584426000714302,0.0003474139957688749
82,0.29000000000000004,1.0,647.0,0.031064843758940697,0.0034470015671104193
83,0.29181640625000005,1.0,419.0,0.05765026807785034,0.011066079139709473
84,0.2913671875,1.0,442.0,0.04467236250638962,0.006997887045145035
85,0.29000000000000004,1.0,565.0,0.041991133242845535,0.003811225527897477
86,0.2949609375000001,1.0,258.0,0.06153262034058571,0.013115345500409603
87,0.29000000000000004,1.0,527.0,0.035493362694978714,0.004622511100023985
88,0.19000000000000006,1.0,912.0,-0.036420829594135284,0.001002302160486579
89,0.99318359375,1.0,349.0,0.9881664514541626,0.39705726504325867
90,0.29523437500000005,1.0,244.0,0.014669557102024555,0.0007303932798095047
91,-0.058320312499999916,0.65,426.0,-0.1562841236591339,0.10603035986423492
92,0.01790697674418605,0.12790697674418605,711.0,-0.4040777385234833,0.05791845917701721
93,0.2906640625000001,1.0,478.0,0.0034096294548362494,6.593682337552309e-05
94,0.043984375000000075,0.75,308.0,-0.1683896780014038,0.0667731761932373
95,0.29000000000000004,1.0,575.0,0.006897652056068182,0.00021872024808544666
96,0.29277343750000007,1.0,370.0,0.02494644746184349,0.0025568227283656597
97,0.2948242187500001,1.0,265.0,0.030708344653248787,0.0038073977921158075
98,0.03260699728260874,0.7391304347826086,334.0,-0.10411646217107773,0.046283263713121414
99,0.01322823660714286,0.01785714285714286,237.0,-0.3382674753665924,0.04428347200155258
100,0.24619140625,0.25,195.0,0.01815808191895485,0.0001338791917078197
101,0.1431640625,0.15,350.0,-0.13773517310619354,0.0076278457418084145
102,0.29302734375000006,1.0,357.0,0.03954998031258583,0.008279805071651936
103,0.2941015625000001,1.0,302.0,0.040525078773498535,0.007585397455841303
104,0.2934375,1.0,336.0,0.0253805723041296,0.002307110233232379
105,0.2929882812500001,1.0,359.0,0.04234190657734871,0.009758013300597668
106,0.29435546875000007,1.0,289.0,0.038273416459560394,0.00520595908164978
107,0.29244140625000004,1.0,387.0,0.037583108991384506,0.006858618929982185
108,0.29179687500000007,1.0,420.0,0.016935018822550774,0.0017993185902014375
109,0.2938476562500001,1.0,315.0,0.022073177620768547,0.002771249506622553
110,0.29365234375000004,1.0,325.0,0.019442595541477203,0.0025228983722627163
111,0.3781133497807017,0.38596491228070173,402.0,0.15211854875087738,0.007385837845504284
112,0.12438548018292683,0.8292682926829268,250.0,-0.10817797482013702,0.055358659476041794
113,0.8552873883928571,0.8571428571428571,95.0,0.7989288568496704,0.2726915776729584
114,0.2933203125,1.0,342.0,-0.011305426247417927,0.0009254111791960895
115,0.1669933744820442,0.1712707182320442,219.0,-0.32819315791130066,0.032321419566869736
116,0.2904296875000001,1.0,490.0,-0.008922649547457695,0.00044879078632220626
117,0.039663563204887224,0.04511278195488722,279.0,-0.4644719362258911,0.0722806453704834
118,0.2940820312500001,1.0,303.0,-7.76655797380954e-05,2.7496312782204768e-08
119,0.09685546874999998,0.10156249999999999,241.0,-0.42570626735687256,0.05089748650789261
120,0.2940625,1.0,304.0,-0.008556613698601723,0.0005948508623987436
121,0.29000000000000004,1.0,609.0,-0.014479395002126694,0.002225237898528576
122,0.29218750000000004,1.0,400.0,-0.0030992000829428434,7.788280345266685e-05
123,0.2954296875000001,1.0,234.0,0.0030903490260243416,8.240513852797449e-05
124,0.2911328125,1.0,454.0,0.002828940050676465,6.238080095499754e-05
125,0.2925195312500001,1.0,383.0,0.003013171022757888,7.822139741620049e-05
126,0.09061446252147766,0.09621993127147765,287.0,-0.368452787399292,0.033669959753751755
127,0.19211836557539685,0.19682539682539685,241.0,-0.12177632004022598,0.004045955836772919
128,0.29365234375000004,1.0,325.0,0.025654751807451248,0.0048824199475348
129,0.19000000000000006,1.0,877.0,-0.06013514846563339,0.002112010261043906
130,0.29150390625,1.0,435.0,0.01024698931723833,0.001303057186305523
131,0.14940848214285718,0.8571428571428571,396.0,-0.021480271592736244,0.006563865579664707
132,0.11021324936224497,0.8163265306122449,313.0,-0.03731391206383705,0.018296783789992332
133,0.20510487261546187,0.20883534136546186,191.0,-0.001533958246000111,5.556445330512361e-07
134,0.18362341772151897,0.18987341772151897,320.0,-0.022497573867440224,0.00010430937982164323
135,0.29425781250000005,1.0,294.0,0.03607693687081337,0.017648957669734955
136,0.29292968750000004,1.0,362.0,0.036647818982601166,0.014884227886795998
137,0.29341796875000004,1.0,337.0,0.0075459289364516735,0.00033960866858251393
138,0.2914062500000001,1.0,440.0,0.015115296468138695,0.0016143436077982187
139,0.2932421875000001,1.0,346.0,0.029979268088936806,0.011136450804769993
140,0.29423828125000007,1.0,295.0,0.02147478424012661,0.003394853789359331
141,0.29236328125,1.0,391.0,0.017057552933692932,0.006266393698751926
142,0.2931054687500001,1.0,353.0,0.021842151880264282,0.008573471568524837
143,0.29130859375000007,1.0,445.0,0.009956621564924717,0.0021954611875116825
144,0.11489059562969924,0.12030075187969924,277.0,-0.35511958599090576,0.02386789582669735
145,0.2933593750000001,1.0,340.0,0.00011515082587720826,2.855678076230106e-07
146,0.29033203125000007,1.0,495.0,-0.008061632513999939,0.001714995363727212
147,0.29000000000000004,1.0,517.0,-0.005719990003854036,0.0014882439281791449
148,0.292578125,1.0,380.0,-0.004401656333357096,0.0007768215727992356
149,0.29000000000000004,1.0,757.0,-0.04960186406970024,0.018382156267762184
150,0.19000000000000006,1.0,666.0,-0.13776089251041412,0.010713585652410984
151,0.2922265625,1.0,398.0,-0.002818330191075802,0.0002074374060612172
152,0.2908007812500001,1.0,471.0,-0.0016571329906582832,6.846974429208785e-05
153,0.2921289062500001,1.0,403.0,1.791396925909794e-06,9.038192416710444e-11
154,0.294921875,1.0,260.0,-0.01615823246538639,0.002177119953557849
155,-0.041297709923664126,0.06870229007633588,823.0,-0.8089313507080078,0.12948065996170044
156,0.2928515625,1.0,366.0,0.008178932592272758,0.0025484568905085325
157,0.2920117187500001,1.0,409.0,0.008945832028985023,0.002280076267197728
158,0.29000000000000004,1.0,612.0,0.006418285425752401,0.0023459019139409065
159,0.29035156250000005,1.0,494.0,0.006907202303409576,0.0027620759792625904
160,-0.2861904761904761,0.5238095238095238,741.0,-0.6214750409126282,0.2640829086303711
161,-0.10824218750000003,0.6,422.0,-0.042519472539424896,0.11797801405191422
162,0.29121093750000004,1.0,450.0,0.00710546737536788,0.002384533639997244
163,0.29267578125000004,1.0,375.0,0.00951866339892149,0.0040175216272473335
164,0.99703125,1.0,152.0,1.5275108814239502,0.5345185995101929
165,0.29037109375000003,1.0,493.0,0.007945937104523182,0.0030849194154143333
166,0.29000000000000004,1.0,529.0,0.005322142504155636,0.003119814908131957
167,0.2923828125000001,1.0,390.0,0.0071737864054739475,0.0024964753538370132
168,0.29072265625000004,1.0,475.0,0.006052840501070023,0.002562538720667362
169,0.29511718750000004,1.0,250.0,0.004761502146720886,0.001023157499730587
170,0.2934960937500001,1.0,333.0,0.0008035693899728358,3.2684194593457505e-05
171,0.29000000000000004,1.0,733.0,-0.0007067341939546168,4.615648867911659e-05
172,0.29000000000000004,1.0,987.0,-0.0044432831928133965,0.003994077444076538
173,0.2901953125000001,1.0,502.0,-0.004268087446689606,0.0010224578436464071
174,0.2941796875,1.0,298.0,-0.00392907066270709,0.0007726706680841744
175,0.29314453125000006,1.0,351.0,-0.0018588061211630702,0.00015467342745978385
176,0.9956640625,1.0,222.0,1.127575397491455,0.5626778602600098
177,0.2935937500000001,1.0,328.0,-0.0036866336595267057,0.0006533726118505001
178,-0.36434004934210523,0.34210526315789475,330.0,-0.1026383489370346,0.46101462841033936
179,0.17527343750000002,0.88,242.0,-0.0227437112480402,0.02067890390753746
180,0.29234375,1.0,392.0,0.0034305118024349213,0.00039142565219663084
181,0.29082031250000007,1.0,470.0,0.00594836100935936,0.0015515601262450218
182,0.1917578125,1.0,422.0,-0.08624527603387833,0.0026322375051677227
183,0.291875,1.0,416.0,0.008143006823956966,0.001942064263857901
184,0.29253906250000006,1.0,382.0,0.010360145941376686,0.003962657414376736
185,0.29476562500000003,1.0,268.0,0.012414754368364811,0.005022273398935795
186,0.29150390625,1.0,435.0,0.012975312769412994,0.004427799955010414
187,-0.08431640624999992,0.625,477.0,-0.049526989459991455,0.10541712492704391
188,0.29207031250000004,1.0,406.0,0.004650541115552187,0.0008001590613275766
189,0.29314453125000006,1.0,351.0,0.014072135090827942,0.0024104686453938484
190,0.29412109375000006,1.0,301.0,0.008919216692447662,0.002910922048613429
191,0.29425781250000005,1.0,294.0,0.007583893835544586,0.0022189693991094828
192,0.2934765625000001,1.0,334.0,0.006413573399186134,0.0014861959498375654
193,0.11762568583015269,0.1221374045801527,231.0,-0.41355353593826294,0.02638455666601658
194,0.062297175480769296,0.7692307692307693,355.0,-0.054569415748119354,0.03517985716462135
195,0.2933593750000001,1.0,340.0,0.0013885635416954756,5.124584731674986e-06
196,-0.1732877604166666,0.5333333333333333,339.0,-0.07613015174865723,0.19902797043323517
197,0.29388671875000005,1.0,313.0,0.003279718803241849,0.0003247205459047109
198,-0.7087890625,0,450.0,-0.16847121715545654,0.9226751923561096
199,0.29138671875,1.0,441.0,0.010033341124653816,0.002999073127284646
200,0.2900585937500001,1.0,509.0,0.007026326842606068,0.0016886094817891717
201,0.2929882812500001,1.0,359.0,0.009105635806918144,0.0039555225521326065
202,0.293203125,1.0,348.0,0.01019125897437334,0.0011392433661967516
203,0.2916601562500001,1.0,427.0,0.009849917143583298,0.003573737572878599
204,0.29414062500000004,1.0,300.0,0.00840910617262125,0.0033924803137779236
205,0.29162109375,1.0,429.0,0.014843519777059555,0.005750059615820646
206,0.2944140625,1.0,286.0,0.004895511548966169,0.0010752684902399778
207,0.29121093750000004,1.0,450.0,0.0014865484554320574,0.00011675470159389079
208,0.06900685436320754,0.07547169811320754,331.0,-0.584453821182251,0.050254300236701965
209,0.29123046875,1.0,449.0,0.0004753952380269766,1.087001965061063e-05
210,0.29183593750000003,1.0,418.0,-0.002857003826647997,0.0004956434131599963
211,0.034976776274875616,0.039800995024875614,247.0,-0.789499819278717,0.08057566732168198
212,0.292578125,1.0,380.0,-0.009893996641039848,0.0011497733648866415
213,0.29000000000000004,1.0,521.0,0.001707866438664496,5.889772728551179e-05
214,0.2910351562500001,1.0,459.0,-0.004593947436660528,0.0016755140386521816
215,0.19000000000000006,1.0,632.0,-0.14771531522274017,0.007021934725344181
216,0.29416015625,1.0,299.0,-0.01139905396848917,0.0016034940490499139
217,0.291875,1.0,416.0,0.0015214680461212993,0.00017127046885434538
218,0.29400390625000006,1.0,307.0,0.004189601168036461,0.0008716136799193919
219,0.46660386029411766,0.47058823529411764,204.0,0.4880610406398773,0.04871782660484314
220,0.09195312500000008,0.8,412.0,-0.02004930004477501,0.027072036638855934
221,0.2928710937500001,1.0,365.0,0.005306172650307417,0.0019236385123804212
222,0.2938476562500001,1.0,315.0,0.008488700725138187,0.0037435845006257296
223,0.2941015625000001,1.0,302.0,0.0079325707629323,0.003612782573327422
224,0.29265625000000006,1.0,376.0,0.0003531550173647702,1.259525743080303e-05
225,0.29443359375,1.0,285.0,0.002457929076626897,0.00039538374403491616
226,0.29621093750000005,1.0,194.0,0.007199457846581936,0.002393250120803714
227,0.29744140625000004,1.0,131.0,-0.00023842742666602135,4.092629808383208e-07
228,0.29638671875,1.0,185.0,0.00017996254609897733,3.2294967695634114e-06
229,0.2935546875,1.0,330.0,0.0023756406735628843,0.0003312251647002995
230,0.19000000000000006,1.0,882.0,-0.15843892097473145,0.008561025373637676
231,0.29216796875000006,1.0,401.0,-0.00253553525544703,0.0008611031225882471
232,0.29000000000000004,1.0,631.0,-0.0025901130866259336,0.0003721179091371596
233,0.29453125,1.0,280.0,-0.0012861996656283736,0.00021812300838064402
234,0.29435546875000007,1.0,289.0,0.00021113065304234624,4.0102750062942505e-06
235,0.07958048844537816,0.08403361344537816,228.0,-0.6981761455535889,0.049922045320272446
236,0.2936132812500001,1.0,327.0,0.0036604891065508127,0.000973963993601501
237,0.29205078125000006,1.0,407.0,0.0019181047100573778,0.00020102097187191248
238,0.29000000000000004,1.0,707.0,-4.7505207476206124e-05,5.177482762519503e-07
239,0.29000000000000004,1.0,579.0,0.0019321609288454056,0.0004906097310595214
240,0.04490124339788733,0.04929577464788733,225.0,-0.7924608588218689,0.05609038099646568
241,0.99556640625,1.0,227.0,1.3157851696014404,0.45914003252983093
242,0.29000000000000004,1.0,525.0,0.0032908532302826643,0.0010395061690360308
243,0.19000000000000006,1.0,593.0,-0.15760859847068787,0.005896097514778376
244,0.29171875,1.0,424.0,0.0028930027037858963,0.0010759682627394795
245,0.29306640625,1.0,355.0,0.0034512842539697886,0.0015127290971577168
246,0.29121093750000004,1.0,450.0,0.0028148440178483725,0.000764796044677496
247,0.29000000000000004,1.0,561.0,0.000436385947978124,3.735301288543269e-05
248,0.2914062500000001,1.0,440.0,-3.399197157705203e-05,1.7398350848907285e-07
